Line,Env,DTHD,DTMT,GY,Height
GID7631608,Bed5IR,77,117,6.872366483,98
GID7631614,Bed5IR,76,114,6.714631417,100
GID7631619,Bed5IR,75,115,6.780701577,101
GID7631628,Bed5IR,65,110,5.965573428,109
GID7631640,Bed5IR,76,119,6.354926071,96
GID7631642,Bed5IR,65,107,6.156194768,97
GID7631716,Bed5IR,84,121,6.765260454,101
GID7631718,Bed5IR,76,118,6.274793681,95
GID7631722,Bed5IR,77,122,6.403585851,102
GID7631723,Bed5IR,83,126,6.876344631,100
GID7631725,Bed5IR,82,126,6.969944024,103
GID7631727,Bed5IR,78,118,6.012670738,107
GID7631729,Bed5IR,79,121,6.657003604,108
GID7631811,Bed5IR,70,114,6.397792208,101
GID7631846,Bed5IR,67,114,6.561033122,88
GID7631905,Bed5IR,76,106,5.740438758,96
GID7631944,Bed5IR,66,108,6.279193295,99
GID7631949,Bed5IR,68,109,6.435589102,101
GID7631953,Bed5IR,70,113,6.835041518,101
GID7631966,Bed5IR,76,114,5.952841195,103
GID7631988,Bed5IR,78,117,6.441373482,100
GID7631994,Bed5IR,77,117,6.746055132,101
GID7631999,Bed5IR,82,118,5.957528605,103
GID7632042,Bed5IR,79,116,6.873826359,106
GID7632179,Bed5IR,78,114,6.441193842,103
GID7632187,Bed5IR,74,112,6.168877642,103
GID7632189,Bed5IR,77,114,6.854653166,98
GID7632191,Bed5IR,77,114,6.303398869,97
GID7632194,Bed5IR,78,114,6.984635789,96
GID7632195,Bed5IR,77,114,6.606294839,95
GID7632196,Bed5IR,76,112,6.839474886,97
GID7632200,Bed5IR,68,107,6.566786669,97
GID7632202,Bed5IR,67,107,5.787560559,101
GID7632203,Bed5IR,78,118,6.564256956,106
GID7632217,Bed5IR,80,121,6.818195532,107
GID7632219,Bed5IR,77,121,6.962314789,110
GID7632233,Bed5IR,78,114,7.122951586,100
GID7632310,Bed5IR,80,115,6.741923186,111
GID7632312,Bed5IR,67,107,6.017085913,106
GID7632372,Bed5IR,77,115,6.870715356,100
GID7632386,Bed5IR,79,116,6.523177386,110
GID7632393,Bed5IR,65,114,6.14210287,100
GID7632405,Bed5IR,76,115,6.488673596,109
GID7632410,Bed5IR,78,117,6.097981693,104
GID7632416,Bed5IR,75,115,6.653402576,110
GID7632443,Bed5IR,79,119,6.890823613,107
GID7632444,Bed5IR,77,115,7.14677108,108
GID7632448,Bed5IR,76,118,7.05748708,105
GID7632450,Bed5IR,79,118,7.159568453,102
GID7632451,Bed5IR,71,117,6.53941667,110
GID7632459,Bed5IR,76,117,7.390441996,106
