Line,Env,Daysto50Flower,DaystoMaturity,AvePlantHeight,Biomass,PlantStand
ICCV06101,2,75.5,151.5,51.8,400,90
ICCV06102,2,72.5,153.5,58.8,370,90
ICCV06103,2,60.5,149.5,52.2,405,100
ICCV06104,2,65.5,153,51.5,340,95
ICCV06105,2,65.5,159.5,57.8,277.5,95
ICCV06106,2,65.5,148,58.5,452.5,100
ICCV06107,2,55.5,151,59.5,320,95
ICCV06108,2,64.5,153.5,57.35,580,95
ICCV06109,2,43.5,152.5,51.35,322.5,70
ICCV06301,2,45.5,154.5,61.65,392.5,35
ICCV06303,2,46,154.5,56.15,442.5,40
ICCV06304,2,47,148.5,59.35,540,45
ICCV06305,2,46,154.5,57.85,405,55
ICCV06306,2,60.5,152,56.3,440,55
ICCV06307,2,109,152.5,56.8,290,50
